# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        01/05/2023 15:37:58
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/16spec/
# Output file:      ../data/16spec/fastortho-summary-16spec.csv
# ----------------
inflation,genes,taxa
2,27,2
2,27,3
2,27,3
2,27,1
2,27,1
2,26,16
2,26,16
2,26,15
2,26,16
2,26,16
2,26,15
2,26,16
2,26,16
2,26,15
2,26,15
2,26,14
2,26,15
2,26,15
2,26,16
2,26,16
2,26,14
2,26,16
2,26,15
2,26,16
2,26,15
2,26,15
2,26,15
2,26,16
2,26,15
2,26,16
2,26,14
2,26,16
2,26,14
2,26,15
2,26,16
2,26,14
2,26,15
2,26,16
2,26,16
2,26,16
2,26,15
2,26,13
2,26,13
2,26,16
2,26,13
2,26,16
2,26,16
2,26,15
2,26,14
2,26,15
2,26,16
2,26,16
2,26,16
2,26,16
2,26,15
2,26,10
2,26,13
2,26,15
2,26,14
2,26,16
2,26,15
2,26,15
2,26,16
2,26,15
2,26,14
2,26,12
2,26,1
2,26,13
2,26,13
2,26,13
2,26,14
2,26,15
2,26,11
2,26,12
2,26,2
2,26,2
2,26,2
2,26,1
2,26,3
2,26,1
2,25,16
2,25,13
2,25,12
2,25,16
2,25,16
2,25,15
2,25,15
2,25,16
2,25,16
2,25,16
2,25,16
2,25,16
2,25,16
2,25,16
2,25,16
2,25,13
2,25,16
2,25,15
2,25,16
2,25,15
2,25,16
2,25,12
2,25,16
2,25,16
2,25,15
2,25,16
2,25,15
2,25,15
2,25,15
2,25,15
2,25,15
2,25,15
2,25,15
2,25,16
2,25,14
2,25,15
2,25,16
2,25,16
2,25,12
2,25,15
2,25,16
2,25,15
2,25,16
2,25,16
2,25,16
2,25,16
2,25,16
2,25,16
2,25,14
2,25,14
2,25,16
2,25,16
2,25,16
2,25,15
2,25,15
2,25,15
2,25,16
2,25,16
2,25,16
2,25,12
2,25,14
2,25,13
2,25,16
2,25,16
2,25,15
2,25,15
2,25,15
2,25,15
2,25,15
2,25,15
2,25,16
2,25,15
2,25,12
2,25,15
2,25,16
2,25,15
2,25,14
2,25,16
2,25,16
2,25,15
2,25,15
2,25,16
2,25,16
2,25,16
2,25,16
2,25,15
2,25,14
2,25,15
2,25,13
2,25,15
2,25,15
2,25,13
2,25,16
2,25,15
2,25,14
2,25,12
2,25,14
2,25,13
2,25,12
2,25,15
2,25,1
2,25,2
2,25,1
2,25,1
2,25,6
2,25,5
2,25,1
2,25,1
2,25,1
2,24,14
2,24,16
2,24,1
2,24,15
2,24,15
2,24,16
2,24,16
2,24,15
2,24,15
2,24,13
2,24,14
2,24,16
2,24,14
2,24,15
2,24,16
2,24,14
2,24,15
2,24,15
2,24,16
2,24,16
2,24,15
2,24,12
2,24,16
2,24,16
2,24,14
2,24,15
2,24,16
2,24,16
2,24,13
2,24,15
2,24,16
2,24,16
2,24,15
2,24,15
2,24,12
2,24,16
2,24,15
2,24,15
2,24,13
2,24,13
2,24,16
2,24,16
2,24,15
2,24,16
2,24,14
2,24,15
2,24,16
2,24,16
2,24,14
2,24,14
2,24,13
2,24,16
2,24,16
2,24,15
2,24,14
2,24,15
2,24,16
2,24,15
2,24,15
2,24,16
2,24,16
2,24,12
2,24,14
2,24,16
2,24,16
2,24,14
2,24,16
2,24,14
2,24,15
2,24,16
2,24,16
2,24,16
2,24,13
2,24,15
2,24,16
2,24,16
2,24,16
2,24,14
2,24,14
2,24,16
2,24,14
2,24,16
2,24,15
2,24,14
2,24,16
2,24,15
2,24,16
2,24,12
2,24,16
2,24,14
2,24,16
2,24,14
2,24,16
2,24,15
2,24,16
2,24,15
2,24,14
2,24,15
2,24,15
2,24,5
2,24,13
2,24,15
2,24,13
2,24,13
2,24,15
2,24,1
2,24,15
2,24,15
2,24,14
2,24,15
2,24,10
2,24,11
2,24,14
2,24,14
2,24,10
2,24,1
2,24,1
2,24,1
2,24,1
2,24,1
2,24,1
2,24,1
2,24,3
2,24,3
2,24,3
2,24,1
2,24,3
2,24,3
2,24,1
2,24,1
2,24,1
2,24,1
2,24,1
2,23,1
2,23,15
2,23,12
2,23,14
2,23,16
2,23,15
2,23,16
2,23,16
2,23,16
2,23,16
2,23,15
2,23,13
2,23,14
2,23,15
2,23,15
2,23,16
2,23,16
2,23,15
2,23,15
2,23,15
2,23,15
2,23,14
2,23,15
2,23,16
2,23,15
2,23,15
2,23,15
2,23,15
2,23,15
2,23,14
2,23,14
2,23,16
2,23,16
2,23,15
2,23,16
2,23,13
2,23,16
2,23,16
2,23,16
2,23,15
2,23,16
2,23,15
2,23,16
2,23,15
2,23,16
2,23,14
2,23,14
2,23,16
2,23,15
2,23,16
2,23,15
2,23,16
2,23,16
2,23,15
2,23,14
2,23,16
2,23,14
2,23,14
2,23,15
2,23,16
2,23,16
2,23,16
2,23,16
2,23,14
2,23,15
2,23,16
2,23,12
2,23,13
2,23,14
2,23,16
2,23,16
2,23,16
2,23,15
2,23,16
2,23,16
2,23,16
2,23,15
2,23,14
2,23,16
