*** Warning! With -c set to 15 or higher, some gene trees may take a very long time to reconcile!

#
# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 10.21.2022 | 18:15:28
# The program was called as: /n/home07/gthomas/projects/grampa/grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/chelicerate-19spec-astral-pro-rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-100-rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15 -c 15 -p 30
#
# 10.21.2022 | 18:15:28 INFO: Number of processes:...................................30
# 10.21.2022 | 18:15:28 --> Step 1: Reading species tree
# 10.21.2022 | 18:15:28 --> STEP 2 06.15.28: Parsing hybrid clades
# 10.21.2022 | 18:15:28 --> STEP 3 06.15.28: Counting MUL-trees
# 10.21.2022 | 18:15:28 --> STEP 4 06.15.28: Reading gene tree(s)
# 10.21.2022 | 18:15:29 INFO: The input species tree with internal nodes labeled.....((DMELA,BMORI)<1>,(((HLONG,ISCAP)<2>,(MOCCI,VDEST)<3>)<4>,(((TGIGA,CROTU)<5>,LPOLY)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,(SMIMO,((PTEPI,LHESP)<8>,((NCLAV,TANTI)<9>,ABRUE)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>
# 10.21.2022 | 18:15:29 INFO: Input species tree is..................................Singly-labeled
# 10.21.2022 | 18:15:29 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 10.21.2022 | 18:15:29 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 10.21.2022 | 18:15:29 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-100-rooted.treefile
# 10.21.2022 | 18:15:29 INFO: Total gene trees.......................................6359
# 10.21.2022 | 18:15:29 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_out.txt
# 10.21.2022 | 18:15:29 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_checknums.txt
# 10.21.2022 | 18:15:29 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_trees_filtered.txt
# 10.21.2022 | 18:15:29 INFO: Filtering gene trees with # of polyploid groups over...15
# 10.21.2022 | 18:15:29 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_det.txt
# 10.21.2022 | 18:15:29 INFO: Detailed output will contain...........................Reconciliation scores only
# 10.21.2022 | 18:15:29 --> STEP 5 06.15.29: Building 1187 MUL-tree(s)
# 10.21.2022 | 18:15:30 --> STEP 6 06.15.30: Checking gene tree groupings
# 10.21.2022 | 18:21:50 INFO: Filtered gene trees:...................................7
# 10.21.2022 | 18:21:50 INFO: Final gene tree count for reconciliations:.............6352
# STEP 7 06.21.50: Writing filtered gene trees to file.
# ----------------------------------------
# 10.21.2022 | 18:21:50 --> STEP 8 06.21.50: Beginning reconciliations.
# 10.21.2022 | 18:39:18 --> STEP 9 06.39.18: Getting maps for lowest scoring tree
# 10.21.2022 | 18:39:22 --> STEP 10 06.39.22: Writing output
# GT/MT combo	# dups	# losses	Total score
GT-158 to MT-0	0	6	6
GT-160 to MT-0	0	5	5
GT-106 to MT-0	3	7	10
GT-135 to MT-0	0	3	3
GT-162 to MT-0	0	3	3
GT-159 to MT-0	1	3	4
GT-164 to MT-0	0	9	9
GT-167 to MT-0	0	7	7
GT-147 to MT-0	0	5	5
GT-163 to MT-0	0	3	3
GT-166 to MT-0	1	7	8
GT-165 to MT-0	1	5	6
GT-170 to MT-0	0	9	9
GT-169 to MT-0	0	3	3
GT-168 to MT-0	0	4	4
GT-172 to MT-0	0	7	7
GT-176 to MT-0	1	4	5
GT-177 to MT-0	0	4	4
GT-180 to MT-0	0	10	10
GT-171 to MT-0	1	8	9
GT-124 to MT-0	5	5	10
GT-154 to MT-0	1	10	11
GT-175 to MT-0	0	5	5
GT-117 to MT-0	5	9	14
GT-179 to MT-0	0	5	5
GT-161 to MT-0	1	6	7
GT-72 to MT-0	3	7	10
GT-178 to MT-0	0	4	4
GT-174 to MT-0	0	8	8
GT-183 to MT-0	0	4	4
GT-193 to MT-0	0	11	11
GT-93 to MT-0	1	5	6
GT-181 to MT-0	0	2	2
GT-188 to MT-0	1	4	5
GT-200 to MT-0	0	10	10
GT-195 to MT-0	1	3	4
GT-184 to MT-0	0	10	10
GT-148 to MT-0	1	4	5
GT-194 to MT-0	0	8	8
GT-185 to MT-0	2	5	7
GT-173 to MT-0	3	7	10
GT-186 to MT-0	0	8	8
GT-182 to MT-0	1	9	10
GT-196 to MT-0	0	8	8
GT-201 to MT-0	1	5	6
GT-102 to MT-0	4	11	15
GT-190 to MT-0	0	10	10
GT-206 to MT-0	0	4	4
GT-204 to MT-0	0	6	6
GT-203 to MT-0	1	3	4
GT-207 to MT-0	0	5	5
GT-191 to MT-0	4	8	12
GT-209 to MT-0	0	4	4
GT-197 to MT-0	4	12	16
GT-215 to MT-0	0	5	5
GT-212 to MT-0	0	5	5
GT-110 to MT-0	4	6	10
GT-213 to MT-0	0	10	10
GT-229 to MT-0	0	6	6
GT-192 to MT-0	4	8	12
GT-189 to MT-0	4	4	8
GT-198 to MT-0	3	19	22
GT-220 to MT-0	3	10	13
GT-216 to MT-0	0	5	5
GT-223 to MT-0	0	9	9
GT-214 to MT-0	7	3	10
GT-227 to MT-0	3	10	13
GT-202 to MT-0	2	3	5
GT-208 to MT-0	1	5	6
GT-232 to MT-0	0	9	9
GT-210 to MT-0	2	4	6
GT-222 to MT-0	0	5	5
GT-211 to MT-0	2	4	6
GT-241 to MT-0	4	2	6
GT-219 to MT-0	3	17	20
GT-187 to MT-0	3	4	7
GT-234 to MT-0	2	3	5
GT-228 to MT-0	1	7	8
GT-226 to MT-0	0	5	5
GT-218 to MT-0	0	5	5
GT-230 to MT-0	0	5	5
GT-231 to MT-0	2	6	8
GT-224 to MT-0	2	10	12
GT-225 to MT-0	1	5	6
GT-205 to MT-0	2	5	7
GT-199 to MT-0	4	3	7
GT-239 to MT-0	1	6	7
GT-236 to MT-0	2	7	9
GT-233 to MT-0	0	6	6
GT-237 to MT-0	2	4	6
GT-238 to MT-0	3	5	8
GT-243 to MT-0	1	6	7
GT-221 to MT-0	3	7	10
GT-249 to MT-0	1	6	7
GT-242 to MT-0	3	3	6
GT-240 to MT-0	4	7	11
GT-235 to MT-0	3	2	5
GT-217 to MT-0	1	12	13
GT-258 to MT-0	2	6	8
GT-247 to MT-0	3	7	10
GT-254 to MT-0	2	5	7
GT-248 to MT-0	3	9	12
GT-269 to MT-0	0	9	9
GT-260 to MT-0	0	3	3
GT-273 to MT-0	0	8	8
GT-275 to MT-0	0	8	8
GT-279 to MT-0	0	8	8
GT-251 to MT-0	4	7	11
GT-246 to MT-0	1	11	12
GT-264 to MT-0	2	7	9
GT-252 to MT-0	2	5	7
GT-267 to MT-0	2	14	16
GT-253 to MT-0	3	6	9
GT-266 to MT-0	1	7	8
GT-255 to MT-0	3	10	13
GT-263 to MT-0	3	4	7
GT-261 to MT-0	4	10	14
GT-256 to MT-0	3	6	9
GT-262 to MT-0	1	4	5
GT-265 to MT-0	2	7	9
GT-250 to MT-0	7	11	18
GT-268 to MT-0	2	6	8
GT-271 to MT-0	0	7	7
GT-278 to MT-0	4	10	14
GT-288 to MT-0	1	6	7
GT-293 to MT-0	0	8	8
GT-244 to MT-0	5	6	11
GT-257 to MT-0	3	2	5
GT-282 to MT-0	0	10	10
GT-298 to MT-0	0	7	7
GT-283 to MT-0	0	9	9
GT-270 to MT-0	1	9	10
GT-291 to MT-0	0	7	7
GT-280 to MT-0	1	7	8
GT-259 to MT-0	2	9	11
GT-284 to MT-0	2	15	17
GT-245 to MT-0	4	1	5
GT-277 to MT-0	1	9	10
GT-276 to MT-0	2	3	5
GT-274 to MT-0	3	8	11
GT-272 to MT-0	4	7	11
GT-289 to MT-0	3	6	9
GT-299 to MT-0	0	7	7
GT-286 to MT-0	0	9	9
GT-281 to MT-0	2	7	9
GT-285 to MT-0	2	11	13
GT-290 to MT-0	2	9	11
GT-305 to MT-0	0	7	7
GT-287 to MT-0	3	8	11
GT-294 to MT-0	5	6	11
GT-309 to MT-0	0	8	8
GT-303 to MT-0	0	9	9
GT-301 to MT-0	2	7	9
GT-295 to MT-0	3	8	11
GT-313 to MT-0	0	9	9
GT-319 to MT-0	1	7	8
GT-304 to MT-0	0	7	7
GT-296 to MT-0	3	4	7
GT-314 to MT-0	0	9	9
GT-297 to MT-0	2	3	5
GT-302 to MT-0	3	5	8
GT-310 to MT-0	0	6	6
GT-306 to MT-0	0	3	3
GT-318 to MT-0	0	10	10
GT-307 to MT-0	0	8	8
GT-316 to MT-0	1	9	10
GT-308 to MT-0	3	1	4
GT-312 to MT-0	0	8	8
GT-329 to MT-0	0	8	8
GT-326 to MT-0	0	7	7
GT-324 to MT-0	0	7	7
GT-330 to MT-0	0	10	10
GT-300 to MT-0	3	1	4
GT-315 to MT-0	1	7	8
GT-322 to MT-0	1	10	11
GT-332 to MT-0	1	8	9
GT-292 to MT-0	3	1	4
GT-320 to MT-0	3	10	13
GT-337 to MT-0	0	8	8
GT-323 to MT-0	0	6	6
GT-325 to MT-0	2	7	9
GT-321 to MT-0	1	5	6
GT-333 to MT-0	3	11	14
GT-343 to MT-0	0	8	8
GT-335 to MT-0	2	9	11
GT-351 to MT-0	0	8	8
GT-346 to MT-0	0	8	8
GT-345 to MT-0	0	7	7
GT-336 to MT-0	0	6	6
GT-317 to MT-0	5	11	16
GT-334 to MT-0	0	7	7
GT-348 to MT-0	0	8	8
GT-328 to MT-0	4	3	7
GT-340 to MT-0	0	8	8
GT-338 to MT-0	1	6	7
GT-362 to MT-0	0	4	4
GT-360 to MT-0	0	9	9
GT-361 to MT-0	0	3	3
GT-364 to MT-0	0	9	9
GT-359 to MT-0	0	3	3
GT-363 to MT-0	0	6	6
GT-365 to MT-0	0	8	8
GT-339 to MT-0	1	2	3
GT-342 to MT-0	0	4	4
GT-369 to MT-0	0	2	2
GT-327 to MT-0	4	7	11
GT-370 to MT-0	0	3	3
GT-367 to MT-0	1	10	11
GT-368 to MT-0	0	7	7
GT-353 to MT-0	0	5	5
GT-372 to MT-0	0	8	8
GT-375 to MT-0	0	8	8
GT-331 to MT-0	2	6	8
GT-379 to MT-0	0	5	5
GT-373 to MT-0	0	9	9
GT-384 to MT-0	0	5	5
GT-377 to MT-0	0	3	3
GT-381 to MT-0	1	9	10
GT-380 to MT-0	0	9	9
GT-354 to MT-0	2	16	18
GT-383 to MT-0	0	8	8
GT-349 to MT-0	2	3	5
GT-386 to MT-0	0	4	4
GT-374 to MT-0	0	5	5
GT-385 to MT-0	0	4	4
GT-387 to MT-0	0	10	10
GT-388 to MT-0	0	3	3
GT-391 to MT-0	0	7	7
GT-356 to MT-0	2	5	7
GT-393 to MT-0	0	2	2
GT-347 to MT-0	4	2	6
GT-394 to MT-0	0	5	5
GT-366 to MT-0	0	6	6
GT-357 to MT-0	2	4	6
GT-389 to MT-0	0	4	4
GT-399 to MT-0	0	7	7
GT-352 to MT-0	7	8	15
GT-392 to MT-0	0	7	7
GT-355 to MT-0	3	5	8
GT-401 to MT-0	0	4	4
GT-396 to MT-0	0	5	5
GT-400 to MT-0	1	3	4
GT-397 to MT-0	0	4	4
GT-403 to MT-0	0	11	11
GT-407 to MT-0	0	5	5
GT-350 to MT-0	8	13	21
GT-404 to MT-0	0	2	2
GT-376 to MT-0	0	5	5
GT-395 to MT-0	1	14	15
GT-344 to MT-0	6	4	10
GT-408 to MT-0	0	4	4
GT-406 to MT-0	0	10	10
GT-405 to MT-0	0	10	10
GT-413 to MT-0	0	3	3
GT-409 to MT-0	0	8	8
GT-410 to MT-0	0	5	5
GT-371 to MT-0	3	9	12
GT-378 to MT-0	0	2	2
GT-417 to MT-0	0	4	4
GT-414 to MT-0	0	6	6
GT-415 to MT-0	1	2	3
GT-416 to MT-0	0	3	3
GT-419 to MT-0	0	10	10
GT-424 to MT-0	0	3	3
GT-427 to MT-0	0	5	5
GT-420 to MT-0	0	7	7
GT-425 to MT-0	0	4	4
GT-423 to MT-0	0	7	7
GT-422 to MT-0	0	5	5
GT-421 to MT-0	0	9	9
GT-426 to MT-0	0	9	9
GT-435 to MT-0	0	3	3
GT-429 to MT-0	0	3	3
GT-428 to MT-0	0	10	10
GT-431 to MT-0	1	4	5
GT-432 to MT-0	0	3	3
GT-438 to MT-0	0	5	5
GT-433 to MT-0	1	8	9
GT-430 to MT-0	0	5	5
GT-439 to MT-0	0	4	4
GT-390 to MT-0	5	12	17
GT-443 to MT-0	0	6	6
GT-446 to MT-0	0	6	6
GT-445 to MT-0	0	9	9
GT-449 to MT-0	0	9	9
GT-398 to MT-0	2	5	7
GT-451 to MT-0	0	5	5
GT-450 to MT-0	1	8	9
GT-382 to MT-0	5	5	10
GT-459 to MT-0	0	5	5
GT-418 to MT-0	5	5	10
GT-448 to MT-0	0	7	7
GT-442 to MT-0	3	7	10
GT-402 to MT-0	5	2	7
GT-441 to MT-0	1	4	5
GT-440 to MT-0	5	9	14
GT-455 to MT-0	0	6	6
GT-466 to MT-0	0	5	5
GT-453 to MT-0	1	6	7
GT-436 to MT-0	3	5	8
GT-452 to MT-0	3	5	8
GT-470 to MT-0	0	6	6
GT-437 to MT-0	4	5	9
GT-463 to MT-0	0	7	7
GT-341 to MT-0	2	6	8
GT-456 to MT-0	3	11	14
GT-411 to MT-0	4	4	8
GT-458 to MT-0	2	8	10
GT-444 to MT-0	2	3	5
GT-472 to MT-0	0	9	9
GT-460 to MT-0	0	4	4
GT-454 to MT-0	2	3	5
GT-475 to MT-0	0	10	10
GT-465 to MT-0	1	7	8
GT-476 to MT-0	1	9	10
GT-480 to MT-0	0	9	9
GT-457 to MT-0	2	8	10
GT-477 to MT-0	0	4	4
GT-464 to MT-0	3	7	10
GT-479 to MT-0	0	8	8
GT-468 to MT-0	3	12	15
GT-467 to MT-0	2	7	9
GT-469 to MT-0	1	8	9
GT-447 to MT-0	3	2	5
GT-412 to MT-0	6	15	21
GT-462 to MT-0	2	5	7
GT-461 to MT-0	4	5	9
GT-478 to MT-0	2	6	8
GT-482 to MT-0	4	9	13
GT-481 to MT-0	0	6	6
GT-471 to MT-0	2	3	5
GT-474 to MT-0	3	8	11
GT-492 to MT-0	1	7	8
GT-491 to MT-0	1	8	9
GT-496 to MT-0	1	9	10
GT-473 to MT-0	2	4	6
GT-494 to MT-0	3	6	9
GT-489 to MT-0	2	4	6
GT-503 to MT-0	0	9	9
GT-501 to MT-0	1	5	6
GT-486 to MT-0	2	3	5
GT-485 to MT-0	3	4	7
GT-488 to MT-0	2	6	8
GT-483 to MT-0	4	9	13
GT-498 to MT-0	1	5	6
GT-487 to MT-0	3	3	6
GT-500 to MT-0	3	6	9
GT-484 to MT-0	1	12	13
GT-497 to MT-0	2	8	10
GT-511 to MT-0	0	6	6
GT-495 to MT-0	2	3	5
GT-499 to MT-0	2	7	9
GT-490 to MT-0	1	1	2
GT-508 to MT-0	0	7	7
GT-507 to MT-0	0	5	5
GT-358 to MT-0	16	10	26
GT-509 to MT-0	0	6	6
GT-502 to MT-0	2	5	7
GT-434 to MT-0	8	23	31
GT-533 to MT-0	0	8	8
GT-510 to MT-0	2	9	11
GT-515 to MT-0	0	4	4
GT-527 to MT-0	1	9	10
GT-517 to MT-0	1	6	7
GT-514 to MT-0	1	3	4
GT-504 to MT-0	3	2	5
GT-505 to MT-0	3	2	5
GT-518 to MT-0	0	3	3
GT-512 to MT-0	2	3	5
GT-521 to MT-0	1	6	7
GT-525 to MT-0	0	4	4
GT-493 to MT-0	7	7	14
GT-532 to MT-0	0	5	5
GT-522 to MT-0	4	6	10
GT-531 to MT-0	2	9	11
GT-541 to MT-0	0	9	9
GT-519 to MT-0	2	3	5
GT-516 to MT-0	4	5	9
GT-526 to MT-0	3	5	8
GT-547 to MT-0	0	8	8
GT-528 to MT-0	2	4	6
GT-520 to MT-0	3	7	10
GT-553 to MT-0	0	9	9
GT-534 to MT-0	1	3	4
GT-556 to MT-0	0	8	8
GT-530 to MT-0	4	9	13
GT-537 to MT-0	0	4	4
GT-523 to MT-0	3	1	4
GT-535 to MT-0	1	8	9
GT-548 to MT-0	1	7	8
GT-529 to MT-0	3	10	13
GT-545 to MT-0	2	8	10
GT-563 to MT-0	0	8	8
GT-539 to MT-0	3	8	11
GT-566 to MT-0	0	7	7
GT-536 to MT-0	2	5	7
GT-549 to MT-0	0	7	7
GT-542 to MT-0	2	5	7
GT-544 to MT-0	3	9	12
GT-552 to MT-0	1	7	8
GT-554 to MT-0	1	6	7
GT-538 to MT-0	2	5	7
GT-573 to MT-0	0	7	7
GT-546 to MT-0	4	2	6
GT-540 to MT-0	5	3	8
GT-560 to MT-0	1	8	9
GT-559 to MT-0	0	4	4
GT-551 to MT-0	3	6	9
GT-564 to MT-0	0	4	4
GT-555 to MT-0	5	6	11
GT-561 to MT-0	2	7	9
GT-579 to MT-0	0	9	9
GT-550 to MT-0	3	2	5
GT-506 to MT-0	1	5	6
GT-569 to MT-0	1	6	7
GT-583 to MT-0	0	9	9
GT-584 to MT-0	1	7	8
GT-567 to MT-0	2	11	13
GT-582 to MT-0	0	10	10
GT-557 to MT-0	3	0	3
GT-565 to MT-0	2	4	6
GT-571 to MT-0	3	7	10
GT-575 to MT-0	1	11	12
GT-580 to MT-0	0	7	7
GT-590 to MT-0	0	7	7
GT-558 to MT-0	4	9	13
GT-543 to MT-0	3	8	11
GT-572 to MT-0	2	6	8
GT-562 to MT-0	4	3	7
GT-594 to MT-0	0	9	9
GT-570 to MT-0	4	8	12
GT-574 to MT-0	1	7	8
GT-598 to MT-0	0	8	8
GT-588 to MT-0	0	5	5
GT-586 to MT-0	3	6	9
GT-513 to MT-0	17	11	28
GT-585 to MT-0	0	3	3
GT-581 to MT-0	3	8	11
GT-578 to MT-0	3	2	5
GT-603 to MT-0	0	7	7
GT-577 to MT-0	3	4	7
GT-576 to MT-0	3	5	8
GT-600 to MT-0	0	5	5
GT-608 to MT-0	0	7	7
GT-587 to MT-0	6	8	14
GT-599 to MT-0	1	5	6
GT-591 to MT-0	3	6	9
GT-593 to MT-0	2	3	5
